allocation,target,target_before,target_after,target_reduction,worst_after,total_composite
baseline,-,0.639213836231712,0.639213836231712,0.0,0.639213836231712,4.366664657722308
efficiency,I-4,0.5146918808032886,0.46469188080328866,0.04999999999999999,0.639213836231712,4.316664657722307
equity,COLONIAL DR,0.639213836231712,0.589213836231712,0.050000000000000044,0.589213836231712,4.316664657722307
