model,RMSE,MAE,R2,pollutant
Baseline(mean),2.6130994599171804,1.8020625559057357,-0.0019066445080069272,PM2.5
Ridge,2.2907074328516277,1.3702947868458373,0.23006399998258564,PM2.5
RandomForest,2.334817488258609,1.4073144004292257,0.2001266051653724,PM2.5
XGBoost,2.6899305267965863,1.7464054443308565,-0.06168945432475015,PM2.5
