model,RMSE,MAE,R2,pollutant
Baseline(mean),12.691112323473668,10.166472333403554,-0.5740975712676719,NO2
Ridge,5.880172169620161,4.725630871768628,0.6620811974008812,NO2
RandomForest,6.539146985169682,5.1222465469770055,0.5820979785149855,NO2
XGBoost,6.566451088297968,4.921903729311963,0.5786008061858547,NO2
